"idhod","hodnota","stapro_kod","pohlavi_cis","pohlavi_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","casref_od","casref_do","stapro_txt","pohlavi_txt","vek_txt","vuzemi_txt"
"763510417","18.3742397274425","5411","102","2","7700","410065610066000","65","2117","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Neratovice"
"763510412","76.3120169741384","5411","102","1","7700","400000600001000","65","2117","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Neratovice"
"763510414","16.7059835496511","5411","102","1","7700","410065610066000","65","2117","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Neratovice"
"763510418","74.511024442791","5411","102","1","7700","400000600001000","65","2118","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Nymburk"
"763510421","81.0126815241845","5411","102","2","7700","400000600001000","65","2118","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Nymburk"
"763510420","15.0839892124089","5411","102","1","7700","410065610066000","65","2118","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Nymburk"
"763510423","18.5332341248376","5411","102","2","7700","410065610066000","65","2118","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Nymburk"
"763510422","36.7134097438556","5411","102","2","7700","410045610046000","65","2118","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Nymburk"
"763510419","31.3538726882865","5411","102","1","7700","410045610046000","65","2118","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Nymburk"
"763510428","38.17621556107","5411","102","2","7700","410045610046000","65","2119","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Poděbrady"
"763510429","20.0294650779268","5411","102","2","7700","410065610066000","65","2119","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Poděbrady"
